地区名,センター,燃えるごみ,燃えないごみ,空びん,資源物
駅部田(上出〔一部を除く〕,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町上出の一部,旧松阪市,月 木,水,20150228 20150326 20150416 20150521 20150617 20150715 20150819 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町金剛,旧松阪市,月 木,火,20150219 20150911 20150415 20150516 20150613 20150711 20150805 20150912,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町さつき園,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町小部〔一部を除く〕,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町小部の一部 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町東出,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町東出西,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町東出東,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町土岐,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町土取第１,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
